Q	STR	TGH	SPE	INT	SPI	CHA	LST	CRP
1A	12	1	10	5	0	0	3	8
1B	10	12	5	8	0	0	1	3
1C	3	10	8	12	0	0	5	1
1D	8	5	3	1	0	0	12	10
1E	1	3	12	10	0	0	8	5
1F	5	8	1	3	0	0	10	12
2A	12	10	0	8	1	3	0	5
2B	8	5	0	10	12	1	0	3
2C	3	1	0	5	8	10	0	12
2D	1	3	0	12	10	5	0	8
2E	10	12	0	3	5	8	0	1
2F	5	8	0	1	3	12	0	10
3A	0	3	5	8	1	10	0	12
3B	0	12	1	3	10	5	0	8
3C	0	10	5	12	5	3	0	1
3D	0	5	10	1	12	8	0	3
3E	0	1	3	5	8	12	0	10
3F	0	8	12	10	3	1	0	5
4A	1	5	0	12	0	8	3	10
4B	5	3	0	1	0	10	12	8
4C	10	12	0	8	0	3	1	5
4D	12	10	0	3	0	5	8	1
4E	8	1	0	10	0	12	5	3
4F	3	8	0	5	0	1	10	12
5A	10	12	3	0	8	1	5	0
5B	5	10	1	0	12	8	3	0
5C	1	3	8	0	10	5	12	0
5D	12	8	5	0	3	10	1	0
5E	3	1	10	0	5	12	8	0
5F	8	5	12	0	1	3	10	0
6A	1	12	10	0	8	0	5	3
6B	3	8	5	0	10	0	12	1
6C	8	5	3	0	1	0	10	12
6D	12	3	8	0	5	0	1	10
6E	5	10	1	0	12	0	3	8
6F	10	1	12	0	3	0	8	5
7A	8	0	3	1	5	10	0	12
7B	1	0	8	10	3	12	0	5
7C	10	0	1	5	12	3	0	8
7D	3	0	12	8	10	5	0	1
7E	5	0	10	12	1	8	0	3
7F	12	0	5	3	8	1	0	10
8A	12	0	3	1	0	8	10	5
8B	10	0	12	3	0	1	5	8
8C	3	0	8	12	0	5	1	10
8D	1	0	10	5	0	12	8	3
8E	5	0	1	8	0	10	3	12
8F	8	0	5	10	0	3	12	1
9A	0	5	0	1	3	8	10	12
9B	0	3	0	8	1	5	12	10
9C	0	1	0	10	8	12	3	5
9D	0	8	0	3	12	10	5	1
9E	0	12	0	5	10	1	8	3
9F	0	10	0	12	5	3	1	8
10A	10	12	3	8	5	0	1	0
10B	12	8	10	3	1	0	5	0
10C	8	5	1	10	12	0	3	0
10D	1	3	12	5	10	0	8	0
10E	5	10	8	1	3	0	12	0
10F	3	1	5	12	8	0	10	0
11A	0	5	1	0	3	10	12	8
11B	0	8	12	0	1	3	10	5
11C	0	3	10	0	8	12	5	1
11D	0	12	8	0	5	1	3	10
11E	0	10	5	0	12	8	1	3
11F	0	1	3	0	10	5	8	12
12A	12	0	10	5	3	8	1	0
12B	8	0	5	1	10	3	12	0
12C	10	0	12	3	5	1	8	0
12D	3	0	8	10	1	12	5	0
12E	1	0	3	12	8	5	10	0
12F	5	0	1	8	12	10	3	0
