#Example		Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
STR	TGH	SPE	INT	SPI	CHA	LST	CRP

#Test			A	E	B	D	B	D	B	E	B	D	B	E
A	A	A	A	A	A	A	A

Encia			CF	AD	AEF	ABC	DE	CE	BF	BF	CF	DF	CF	DF
A	BA	AA	AA	A	AA	BA	A

Stella			ABE	ACE	BEF	BC	DF	EF	AC	ADE	B	AB	AD	BD
A	AA	A	L	H	L	A	H

#Morcdar			F	CD	D	B	DE	EF	CD	DE	AB	EF	AC	CDE
L	L	H	AA	BA	H	BA	AA

#Persephone		BD	CE	CD	AB	AC	AE	AF	BC	B	F	CD	BD
L	BA	A	A	H	H	H	L

#XanderDiMorne	BC	DE	F	AC	BDE	BD	AE	CF	AB	F	EF	BDE
A	H	A	A	H	A	L	L

#Gwendolyn		AE	ADE	BD	AB	AF	CDF	AF	ACD	F	AF	CF	ABD
VH	A	AA	A	AA	BA	L	L

#NathanielCastle	DF	CD	BC	AD	D	CF	AC	CE	B	AB	C	BD
H	A	VL	AA	L	H	L	A

#TynradSelene	BD	ACD	ADE	BCD	BC	DF	A	DEF	B	E	ADF	BD
A	AA	L	A	L	H	VH	AA

#DorotheaAgners	CE	D	A	E	A	D	C	BD	C	F	E	F
BA	BA	BA	AA	H	BA	AA	A

#Mesuzatiekenyan	BC	BE	DE	B	AB	D	DE	BF	CF	DE	E	CF
H	L	A	A	A	H	BA	A

#SevrendBaker	BE	DE	C	DE	C	EF	CD	A	A	DF	AD	E
A	H	A	AA	BA	A	L	A

#AlexanderBishop	DE	BE	B	AF	A	E	A	CF	C	F	DE	EF
A	AA	A	A	VH	BA	L	L

#Xenia			AB	AE	B	D	EF	EF	AF	AD	E	AF	F	AB
H	H	BA	A	A	L	BA	AA

#Zamon			BC	DE	BC	DA	B	FC	F	CD	FC	CF	E	EF
AA	H	BA	H	A	L	L	A

#Grant			EC	DF	B	CE	AB	CF	CD	CE	EC	BF	DF	EF
A	A	A	H	AA	BA	BA	AA

#Abeille			B	FB	DF	AD	AB	DF	CE	FB	DEF	DE	BF	CF
BA	L	H	AA	A	AA	A	A	

#Chaoss			F	DA	BA	CF	DEF	C	FA	EC	BB	FB	CD	AD
A	H	AA	BA	BA	L	BA	H

